,0,100recon _recon 10recon _recon 1000,100recon _recon 20recon _recon 1000,200recon _recon 10recon _recon 1000,200recon _recon 20recon _recon 1000
11719,ARID4A,0.6837483,5.2907696,0.71122855,5.0309696
11720,TOMM20L,0.2869803,0.9405911,0.29703796,1.2815523
11721,TIMM9,0.6653294,0.75512844,0.6919343,0.73458076
11722,KIAA0586,0.668496,0.7238815,0.68543077,0.7376831
11723,DACT1,0.6539489,5.5164413,0.6725552,0.7068317
11724,DAAM1,0.6881428,0.74002886,6.6952987,0.8028795
11725,GPR135,0.6195698,0.6560333,0.63170356,4.7594647
11726,L3HYPDH,0.662638,0.7051735,0.6801821,5.747128
11727,JKAMP,0.682412,5.1733823,0.71242124,0.8177271
11728,CCDC175,0.2863837,1.2738693,0.28801203,1.2770895
11729,RTN1,0.6650579,5.825624,0.6866785,5.829736
11730,LRRC9,0.2729868,1.1953309,0.28698722,1.1914002
11731,DHRS7,0.6915175,0.83945096,0.73717576,0.7790739
11732,PPM1A,0.6961217,0.81637853,0.7606355,0.7925654
11733,C14orf39,0.34956133,0.42100224,0.35812917,0.4737987
11734,SIX6,0.17151229,0.62283635,0.18218863,0.62143743
11735,SIX1,0.5325364,0.60624385,0.54076225,0.55651605
11736,SIX4,0.57953984,0.60799503,0.5894906,1.4044477
11737,MNAT1,0.66124606,0.6985517,0.68049026,0.70357496
11738,TRMT5,0.66165733,0.6944926,0.67984796,5.72228
11739,SLC38A6,0.642822,0.6825073,0.6580249,0.7493302
11740,PRKCH,0.6829257,0.7480688,0.7077294,6.4652157
11741,TMEM30B,0.64051497,0.67810124,0.65198094,2.227727
11742,HIF1A,0.6973004,0.78931546,0.8017789,0.80392355
11743,SNAPC1,0.6494252,5.399542,0.6652831,0.691202
11744,SYT16,0.43527937,2.423516,0.44158018,2.2717152
11745,KCNH5,0.3107376,0.72440666,0.32022688,0.49152198
11746,RHOJ,0.6665336,5.87246,0.68568355,0.7159637
11747,PPP2R5E,0.6877833,0.7997997,0.72306883,0.76227874
11748,WDR89,0.6373522,0.6666224,0.6514362,0.67096764
11749,SGPP1,0.6696119,5.959999,0.69037974,3.5649426
11750,SYNE2,0.69770473,0.8124856,0.8159235,0.7999702
11751,ESR2,0.5639343,2.9281702,0.57327354,3.8599455
11752,MTHFD1,0.6882839,0.7607518,0.72379625,2.0238905
11753,ZBTB25,0.6781847,6.2709827,0.7044009,6.2732415
11754,AKAP5,0.5941137,4.304489,0.6059592,3.6818008
11755,ZBTB1,0.6871568,6.6779413,0.7112209,0.7599809
11756,HSPA2,0.68755424,0.73565704,0.7225478,0.81828773
11757,PPP1R36,0.51008457,3.1821344,0.51954347,0.8490891
11758,PLEKHG3,0.6930228,0.7621279,0.73784554,0.8049072
11759,SPTB,0.6323926,0.67419755,0.6498382,0.6787255
11760,CHURC1,0.6925511,0.8442228,0.7481895,0.78334165
11761,GPX2,0.5240608,0.5464705,0.5337233,0.55199504
11762,RAB15,0.67068946,0.72061414,0.6946776,0.7473633
11763,FNTB,0.6803289,0.7300369,0.70777464,0.8202659
