,name,recon_1
362,DAB1,0.3269248
363,JOSD1,0.81025535
364,NF1,0.73938006
365,DLL1,0.73728126
366,FPGS,0.7882202
367,MND1,0.711226
368,SOX1,0.30717388
369,GIMAP5,0.7324388
370,MVB12B,0.6578157
371,CYP11B1,0.15640579
372,ZNF367,0.6856765
373,LYRM9,0.6836315
374,TADA1,0.7221945
375,RFX1,0.7104621
376,CCDC171,0.5650507
377,GGACT,0.6812579
378,AC010547.9,0.37440968
379,SLC14A1,0.41172132
380,RNPEPL1,0.78009933
381,FZD9,0.4852811
382,INTS8,0.7839562
383,MYF5,0.2589074
384,TMCO4,0.744708
385,CD5L,0.42509747
386,STXBP6,0.57177836
387,DTNBP1,0.75632364
388,ARIH1,0.76335496
389,ACPL2,0.7126403
390,GAB2,0.665236
391,AC104057.1,0.28054592
392,PATZ1,0.74109006
393,PSMG2,0.7936216
394,IPP,0.70181066
395,NCOA2,0.7295313
396,PSEN2,0.7289831
397,P4HA2,0.789418
398,PTTG1IP,0.8018536
399,FAM69B,0.63436717
400,PDGFA,0.75047404
401,TNFSF15,0.53739464
402,SLCO1C1,0.3967038
403,KLC4,0.7595406
404,COX18,0.7095322
405,APOBEC3A,0.7558622
406,SMIM11,0.75366116
407,CAPNS2,0.7522204
408,VPS33A,0.7425372
409,CDKL5,0.5614522
410,ZNF277,0.7434394
411,LLGL2,0.79136467
412,GNAQ,0.74987864
413,HRCT1,0.51940984
414,MFSD6,0.77329063
415,ALKBH6,0.7519192
416,RSU1,0.7838761
417,PDE2A,0.66145813
418,DIO2,0.7321903
419,PSMC2,0.81535316
420,PIK3IP1,0.77663773
421,LZTR1,0.77506405
422,FBXO48,0.5740039
423,ANKS1B,0.42128286
424,NUP205,0.7950313
425,C6orf57,0.72213954
426,DESI2,0.7653694
427,KLHL7,0.764092
428,ITIH5,0.6585996
429,RPN1,0.8270245
430,MRO,0.34935844
431,SLC8A3,0.3498292
432,CRTC3,0.73730654
433,AC002472.13,0.14184614
434,SLC9A7,0.68468994
435,LPPR3,0.8681441
436,MRP63,0.76021653
437,ZNF648,0.2558541
438,RPL15,0.81990355
439,MRPS24,0.81199807
440,EPHA8,0.45352614
441,RFC4,0.7960909
442,PRKAR2B,0.60808593
443,C7orf49,0.7927926
444,ZDHHC13,0.7533129
445,TBATA,0.16964705
446,ALPPL2,0.23603927
447,COL6A3,0.8022692
448,LRRIQ3,0.46550047
449,TMEM235,0.20607702
450,FIBIN,0.6291947
451,RLN3,0.19582103
452,KCNC3,0.59120935
453,TMEM143,0.6780172
454,RBM38,0.7624565
455,ST6GALNAC3,0.4577779
456,AP3B2,0.5654741
457,MTMR12,0.73959756
458,CAMK1,0.72328216
459,CCDC67,0.27188134
460,C3orf62,0.69010574
461,RAD54L,0.7330833
462,PAGE2,0.23951478
463,FANCA,0.76192945
464,NXPH2,0.20283866
465,SNAPC3,0.73885494
466,CCDC64,0.7349782
467,PAPOLG,0.7116928
468,MT1B,0.38790557
469,CHRND,0.4047275
470,PIBF1,0.72510123
471,DTWD1,0.75789994
472,EMC8,0.7676925
473,SLC19A3,0.4445423
474,MTG2,0.787425
475,TEKT3,0.36416113
476,GABARAPL1,0.7762279
477,CEP170,0.75220466
478,PALMD,0.75917894
479,FAU,0.76221377
480,WDR90,0.75156945
481,STEAP1,0.76292735
482,RHBDD2,0.7914025
483,SPATA2,0.7227862
484,ZCCHC18,0.4484122
485,LCP2,0.74135613
486,RAD51AP1,0.74722266
487,ZNRD1,0.7854288
488,TEX2,0.76198703
489,EMP3,0.7974587
490,SBSPON,0.51460034
491,F12,0.7582777
492,CEACAM4,0.51140136
493,PLCL1,0.54157615
494,CACNA2D1,0.64035285
495,SLC9A8,0.7023247
496,TMPRSS2,0.6280826
497,MRGPRG,0.072262436
498,STK40,0.7634585
499,TRDN,0.46845374
500,TMEM241,0.7207151
501,FAM120AOS,0.7786026
502,CCDC7,0.516177
503,EEPD1,0.6963431
504,RAP2A,0.73466206
505,PIP4K2C,0.7850024
506,RASD2,0.63005066
507,SMAD3,0.7754666
508,ERAL1,0.77491283
509,TFAP2E,0.6312638
510,MEF2A,0.7655446
511,PKIA,0.65492433
512,TM9SF3,0.7828379
513,ECM1,0.8008061
514,CCDC41,0.70587975
515,AC096677.1,0.47821248
516,WBSCR16,0.784087
517,C1QTNF2,0.55664253
518,RP11-618P17.4,0.329335
519,SLC4A8,0.5328349
520,NCDN,0.7658903
521,ARRDC4,0.77101165
522,NLGN2,0.7279299
523,ZNF280A,0.23545296
524,DYX1C1,0.59184724
525,GAR1,0.77142924
526,ATP2C1,0.79270464
527,HIST2H2AA3,0.6969788
528,ERH,0.7986541
529,LILRA5,0.6212654
530,EMILIN1,0.7614326
531,SOX21,0.6482056
532,C21orf128,0.1705029
533,HLCS,0.7224013
534,RP4-583P15.15,0.5925512
535,ADSL,0.7814694
536,ABCA3,0.6246256
537,ANKRD9,0.7303438
538,CELA1,0.21571527
539,CDK7,0.7916364
540,NAPG,0.83345145
541,NUP155,0.7586424
542,TPM1,0.80559987
543,HPS6,0.75527066
544,ROBO2,0.4852908
545,PIM1,0.7759015
546,HBB,0.76057
547,KCTD18,0.7295666
548,NDUFS4,0.7938269
549,NUDT3,0.72965163
550,PCID2,0.7698528
551,CPD,0.75159717
552,UBE2Q2,0.78048617
553,C16orf98,0.58748305
554,VCX3B,0.28925848
555,SPDYC,0.35487652
556,MMP11,0.7856815
557,ZNF446,0.71626204
558,ABCA7,0.7298782
559,FZR1,0.7793842
560,CLDN20,0.3659924
561,USP46,0.7330301
562,ADAMTS6,0.49757287
563,MAD1L1,0.782759
564,RNF180,0.469486
565,CRMP1,0.70094806
566,CCDC175,0.110608995
567,CFDP1,0.78479224
568,ARSE,0.54685193
569,RP11-219B4.6,0.020107668
570,NECAB1,0.39782405
571,DCTN1,0.79935265
572,RAB8A,0.7785678
573,ZNF324,0.69851804
574,FN3K,0.6874432
575,ODC1,0.7909422
576,MUC1,0.7938895
577,PER1,0.7715406
578,TEX10,0.7577719
579,GCSH,0.7577856
580,TRAPPC2,0.70969707
581,AC079210.1,0.32886955
582,SSBP1,0.79660374
583,PPIF,0.80344445
584,MRPS36,0.7798884
585,MST1,0.6712491
586,TDP1,0.7408634
587,LRIG1,0.74105
588,BAG6,0.84688544
589,RRP9,0.76862794
590,SEC14L3,0.17497535
591,GPR35,0.5737273
592,CD320,0.7733924
593,CNN1,0.7063885
594,C1orf65,0.24972717
595,PLAC1,0.62379146
596,MYCBPAP,0.41871765
597,DICER1,0.7530811
598,TNKS,0.71430945
599,ARNTL2,0.7724169
600,NARFL,0.763634
601,PPP4R1,0.79534936
602,SLC9C1,0.17319804
603,SND1,0.80050063
604,COMMD9,0.78205246
605,PI3,0.73505515
606,CADPS2,0.6797361
607,PABPC1,0.7473708
608,NR1H2,0.78224206
609,KDM8,0.65363324
610,SDCBP,0.80059767
611,LOXL4,0.64135706
612,HOXC4,0.3483404
613,SLC22A15,0.6284731
614,CHST15,0.75643176
615,ZNF181,0.6843268
616,ZXDB,0.6613688
617,TCOF1,0.77304095
618,IL27,0.31842887
619,FRS2,0.7404237
620,PPP1R12C,0.7859075
621,TNRC6B,0.69262093
622,SYNGR1,0.7349386
623,KCNK17,0.39205143
624,PPP4C,0.80507326
625,CLEC4A,0.670245
626,SPATA3,0.1844226
627,GAREML,0.6408252
628,PCDHB16,0.5716409
629,ANKDD1A,0.63707775
630,PHF17,0.69589883
631,SLC41A3,0.77221537
632,TTC29,0.1924995
633,NBEAL1,0.66452044
634,NKG7,0.7360471
635,LCE2C,0.4468083
636,IL2RA,0.6679571
637,PARD3B,0.56473404
638,SBP1,0.0038255525
639,FAHD2B,0.7244192
640,GRAMD2,0.6318872
641,FAM170A,0.33636907
642,CNGB1,0.62594956
643,C6,0.2182071
644,MFAP1,0.7774095
645,PCYT1B,0.45300424
646,SLIT2,0.5950616
647,EPB41L2,0.7446683
648,MRPS16,0.79927707
649,GPR148,0.058042105
650,ZC3H12B,0.31557438
651,CYP11A1,0.45460963
652,KRTAP10-3,0.077684306
653,NTF3,3.097517
654,ACOX3,0.7494314
655,EPN1,0.8029485
656,BBS7,0.7474087
657,AUTS2,0.7560317
658,ACP2,0.79606205
659,FAM210B,0.77603817
660,SAYSD1,0.7344875
661,KIAA1024,0.42304838
662,LSM2,0.78956467
663,IQCE,0.7088836
664,ZBTB2,0.7325032
665,COPE,0.81548375
666,PTCHD2,0.39582932
667,NR2F6,0.7595079
668,ADORA3,0.65291506
669,PSMF1,0.7974612
670,KL,0.40903273
671,SYAP1,0.77164143
672,GOLT1A,2.1027663
673,HPR,0.48870912
674,PDIA6,0.795767
675,ARHGEF9,0.6803281
676,TEX101,0.42365775
677,NEXN,0.7015929
678,SASH3,0.72042376
679,TMEM44,0.75025505
680,POLR2K,0.7873714
681,GPIHBP1,0.4195257
682,SLC25A19,0.73975515
683,UFSP2,0.7716833
684,TERT,0.4036366
685,VAX1,0.34053847
686,ATRNL1,2.266579
687,OTUD6A,0.09403417
688,ANXA13,0.42409423
689,MXD4,0.7605267
690,ESR2,0.45601454
691,PDSS1,0.72206306
692,INCENP,0.780421
693,SHROOM3,0.63915306
694,GABRA1,0.1743087
695,HSPA13,0.74504143
696,KDM2A,0.7838626
697,TGFB2,0.6899271
698,KCNK3,0.3005835
699,DPPA3,0.07862268
700,ACTR10,0.7889443
701,ARHGAP10,0.7257876
702,CD2,0.72799534
703,TRIM8,8.2423525
704,MRM1,0.69885826
705,IFT81,0.69711965
706,RPS19BP1,0.78140354
707,CTD-2207O23.12,0.5474096
708,SLTM,0.79271626
709,RAB26,0.6035575
710,MUCL1,0.6623718
711,DLAT,0.75080985
712,PTF1A,0.061406817
713,WDR75,0.77030593
714,C3AR1,0.7020512
715,GALR2,0.4155276
716,WIPF1,0.7589714
717,KRTAP19-3,0.16393034
718,CHERP,0.76635283
719,ZNF622,0.7757332
720,GRIA2,0.23515768
721,IL12RB2,0.6913724
722,PHF16,0.67215985
723,MIS12,0.7530307
724,WFDC2,0.76704097
725,WBP11,0.79621965
726,KNCN,0.09597386
727,TBC1D9,0.7205372
728,MARS,0.8027572
729,TUBA4A,0.8517546
730,NCF1,0.70849663
731,RP11-321F6.1,0.6381893
732,TPK1,0.6289523
733,SLC44A3,0.68696517
734,ZSWIM1,0.7295565
735,PPT1,0.8033345
736,ZNF846,0.70837426
737,MAP3K7CL,0.6910939
738,TMEM230,0.80777913
739,C2orf61,0.27172098
740,F8A3,0.6620509
741,ZRANB2,0.8420634
742,GRIK4,0.2552254
743,DYNLT1,0.8008929
744,AL035252.1,0.75298
745,JDP2,0.7702067
746,EXOC6B,0.7499194
747,TBC1D16,0.72172636
748,CSAG1,0.54902273
749,GOLGA7,0.7867859
750,KLHL22,0.74753493
751,GCLC,0.7825532
752,RPL41,0.6945699
753,LYPD1,0.71045256
754,VCX,0.24287362
755,HRNR,0.3714167
756,FBXO8,0.7516872
757,SUSD2,0.6494359
758,TP53I3,0.7714481
759,MXRA7,0.792948
760,ELK3,0.7703979
761,UQCRFS1,0.78453565
762,CCDC79,0.22450195
763,NUBP1,0.7751711
764,ZNF451,0.7378059
765,RAG2,0.18180203
766,GPALPP1,6.4193788
767,C1orf141,0.16039927
768,ADRA1A,0.21496533
769,MMP21,0.39060545
770,APOL2,0.79368186
771,SMG5,0.8101644
772,ZNF573,0.5699641
773,SCIMP,0.58265793
774,PAX6,0.6019556
775,DND1,0.32953814
776,SPEF1,0.29839996
777,EXO1,0.72057194
778,ZNF263,0.799681
779,CCDC13,0.45397222
780,NCKAP5L,0.7271467
781,NICN1,0.6888745
782,PIK3C2B,0.7079274
783,QSER1,0.7356624
784,ADORA2A,0.6572085
785,P4HA3,0.6377055
786,GOLGA8Q,0.33540142
787,PRDX1,0.77499413
788,PLCH2,0.7609497
789,CHAF1B,0.7056419
790,TMEM165,0.78273463
791,COX6C,0.77447945
792,BUD13,0.7437121
793,CASC10,0.5586626
794,HSD17B11,0.7485133
795,MUS81,0.7799242
796,PHGR1,0.19472437
797,CYP24A1,0.72300273
798,C12orf5,0.75538516
799,PODNL1,0.7353938
800,ERICH2,0.43552068
801,C15orf37,0.4890785
802,RP11-1055B8.6,0.4536235
803,BMP8A,0.52133155
804,FAM105A,0.65843445
805,CBX1,0.7952692
806,DDX55,0.76080126
807,CCZ1B,0.7928265
808,DNAJA2,0.7874906
809,FAM153C,0.38310137
810,ZNF385A,0.7856138
811,MOGAT2,1.306957
812,KIAA0408,0.48114064
813,NME7,0.7537434
814,TOM1L1,0.77596116
815,CDHR5,0.24183375
816,NR0B1,0.18466336
817,SETDB2,0.6632697
818,C5orf45,0.7233445
819,GYS1,0.7800439
820,C1orf94,0.4013369
821,TPRN,0.73244166
822,TBC1D8,0.75884694
823,DCAF10,0.76026464
824,NCBP1,0.74990684
825,PTCHD1,0.19786574
826,SIRPG,0.63863164
827,E2F6,0.74231595
828,ANK1,0.6309939
829,CFB,0.7895689
830,AP1S2,0.7340607
831,AC105020.1,0.45875546
832,SLC24A1,0.68423015
833,PARD6B,0.6033402
834,NLRP11,0.31782684
835,ZNF396,0.5490243
836,C2orf57,0.098255344
837,GLE1,0.7726243
838,FETUB,0.56464195
839,PYROXD2,0.64429563
840,CNOT6L,0.7373999
841,NPR3,0.6022378
842,ZNF544,0.7561226
843,CRABP2,0.7896231
844,KIAA0922,0.7351663
845,ODAM,0.42720154
846,AC174470.1,0.4197571
847,FDPS,0.799023
848,SRPX2,0.7426104
849,TMIE,0.46722904
850,TGFBR3,0.63702315
851,LDOC1L,0.7283098
852,RNF216,0.7576242
853,FFAR4,0.36173686
854,DPY19L3,0.686218
855,GTF2H2C,0.73905057
856,PRRX2,0.7418291
857,DSG4,0.32451585
858,CHRNA1,0.5614143
859,SLC18A2,0.65858924
860,MACF1,0.8025127
861,HEPACAM,0.43357325
862,HELQ,0.71213526
863,PPP1R13B,0.75565314
864,GDE1,0.7846596
865,ZNF596,0.61210793
866,ALMS1,0.72718143
867,MRC1,0.5279951
868,RILPL1,0.7294534
869,TIMP1,0.7811542
870,DHRS7C,0.21376155
871,CLEC4F,0.26413283
872,HOXD11,0.68190247
873,CLIP1,0.7858041
874,FICD,0.6570999
875,C14orf142,0.74679846
876,USP49,0.586982
877,ARHGAP4,0.76188105
878,STK32C,0.7276368
879,GABRA2,0.65994185
880,MAB21L3,0.5447346
881,XKR8,0.6890672
882,CTD-3203P2.2,0.39789936
883,INSL3,0.4505904
884,SMIM22,0.7433943
885,FAM217B,0.705313
886,DPRX,0.14582872
887,NAA16,0.7057731
