,x,0
11932,IQGAP1,3.0605822
402,PHC2,3.0625136
9817,C1S,3.0627162
368,PTP4A2,3.0629673
6305,AEBP1,3.0630717
5202,SQSTM1,3.0633526
5850,CD164,3.0637825
10973,ACIN1,3.064188
6255,AQP1,3.0644748
11137,KTN1,3.0645342
11354,DDX24,3.064789
2594,HSPD1,3.06617
9273,LTBP3,3.0664587
15612,LAMA5,3.0677085
8238,KIF5B,3.0683358
1227,COPA,3.0691593
15734,TTC3,3.069843
11516,SRP14,3.0700798
9209,RTN3,3.0701
4789,FAM170A,3.0707567
14000,GPX4,3.072222
1331,PRRC2C,3.074472
667,JAK1,3.0768635
8885,EIF3F,3.077481
9186,HNRNPUL2,3.078354
273,CLIC4,3.0786607
110,CLSTN1,3.079038
8438,GHITM,3.079098
9799,MLF2,3.0794046
4094,SCARB2,3.0794742
14152,C3,3.080181
15349,PYGB,3.0810113
12906,VAMP2,3.0818892
1488,ATP2B4,3.0823386
123,TARDBP,3.082346
11592,SERF2,3.0850532
9571,CRYAB,3.085697
6100,SUN1,3.0872777
6073,QKI,3.0894778
12078,ATP6V0C,3.0900753
11909,MFGE8,3.090858
5038,SYNPO,3.0909812
16413,TSPYL2,3.091198
15588,STX16,3.0914953
8351,HK1,3.092291
12375,FUS,3.0927758
1470,PPP1R12B,3.0935571
3416,FSTL1,3.096457
7120,SDCBP,3.0967076
15231,FKBP1A,3.0971034
5211,MGAT1,3.098837
12746,MYO1C,3.0989969
143,MFN2,3.100255
3243,TKT,3.1014347
10895,COL4A2,3.1021578
4712,COX7C,3.10262
12768,PAFAH1B1,3.103765
4419,ACSL1,3.103795
4380,PALLD,3.1038818
11414,KLC1,3.104046
16555,RPL36A,3.1041956
16059,SUN2,3.1043327
12896,CHD3,3.1051989
1007,ENSA,3.1053114
10194,CS,3.1055083
16369,RBM3,3.1064713
6028,SYNE1,3.1076796
15467,SRSF6,3.1077967
12861,EIF5A,3.1085305
8364,EIF4EBP2,3.1088774
12038,MAPK8IP3,3.1094282
15099,PPP1R12C,3.1096153
15634,PPDPF,3.1099153
324,WASF2,3.1100616
13673,RNF213,3.1105065
16110,SREBF2,3.1116927
1115,PBXIP1,3.1142547
12198,MYH11,3.1151898
5203,TBC1D9B,3.1155233
2609,CLK1,3.1164412
11076,PNN,3.1164532
8229,WAC,3.1168594
854,AHCYL1,3.1176932
7304,EIF3H,3.11779
6315,OGDH,3.117799
13354,KPNB1,3.118132
13100,ZNF207,3.1183746
9860,GABARAPL1,3.1184883
3716,PSMD2,3.1189404
2770,TRIP12,3.1190374
13200,CASC3,3.120504
13312,GRN,3.120812
10139,ATP5G2,3.1210518
2242,EIF5B,3.1227481
8514,SORBS1,3.1228251
9818,C1R,3.1231337
15690,SOD1,3.123762
14671,SUPT5H,3.1245823
4479,MARCH6,3.1251354
1394,LAMC1,3.1264925
15784,PFKL,3.1268482
227,ECE1,3.1273122
16757,BCAP31,3.1278095
13985,PTBP1,3.1282144
4118,HNRNPD,3.1284578
12241,UQCRC2,3.1309676
11233,RBM25,3.1313915
14244,DNM2,3.1317794
13051,SUPT6H,3.1320815
1689,TOMM20,3.1333401
1484,BTG2,3.1366653
3752,LPP,3.1366682
8338,HNRNPH3,3.1371665
4748,PAM,3.1381185
236,CDC42,3.1384788
