id,name,recon_1
93,RP5-890O3.9,0.67153513
94,CPTP,0.71760815
95,TAS1R3,0.57579046
96,DVL1,0.7139404
98,MXRA8,0.7165203
99,AURKAIP1,0.7161624
100,NDUFB4P8,0.6901338
101,CCNL2,0.6993886
102,RP4-758J18.2,0.69594336
103,MRPL20,0.71311855
104,RP4-758J18.13,0.617141
105,ANKRD65,0.6833129
106,RP4-758J18.7,0.7697436
107,TMEM88B,0.44866577
108,LINC01770,0.5624975
109,VWA1,0.71779394
110,ATAD3C,0.6211076
111,ATAD3B,0.7143585
112,ATAD3A,0.7060448
113,TMEM240,0.58985895
114,SSU72,0.7141884
115,RP5-832C2.5,0.5506635
117,FNDC10,0.6991532
118,RP11-345P4.9,0.6935972
119,MIB2,0.72148705
120,MMP23B,0.49755242
121,CDK11B,0.72293437
123,SLC35E2B,0.7321056
124,RP11-345P4.6,4.8208113
125,MMP23A,0.51186854
126,CDK11A,0.7191259
127,RP1-283E3.4,0.68230915
128,SLC35E2,0.6755081
129,NADK,0.7286972
130,GNB1,0.6992158
131,RP1-140A9.1,0.47351983
132,CALML6,0.6002681
133,TMEM52,0.62585604
134,CFAP74,0.42434758
135,RP11-547D24.1,1.9388099
136,GABRD,0.5634404
138,PRKCZ,0.70587206
139,RP5-892K4.1,0.43779588
140,PRKCZ-AS1,0.66874045
141,FAAP20,0.72880334
142,RP11-181G12.4,0.29059854
143,SKI,0.7042479
144,MORN1,0.67016476
145,RP4-713A8.1,0.27233824
146,RP4-740C4.5,0.6431896
147,RP4-740C4.7,0.5442559
148,RER1,0.71341366
149,PEX10,0.6942509
150,PLCH2,0.6980342
151,RP3-395M20.2,0.51140636
152,RP3-395M20.3,0.5133974
153,PANK4,7.1435113
154,HES5,0.6301926
155,RP3-395M20.12,0.63955754
156,RP3-395M20.8,0.6340258
157,TNFRSF14,0.7179283
158,RP3-395M20.7,0.40605593
159,RP3-395M20.9,0.45519698
160,FAM213B,0.70134014
161,MMEL1,0.4892402
163,TTC34,0.57512075
164,ABC14-1188822O7.1,0.9039163
167,ACTRT2,0.21069379
168,LINC00982,0.5949413
169,PRDM16,4.660669
174,ARHGEF16,0.7105736
175,RP11-168F9.2,1.9959741
176,MEGF6,0.71863204
178,RP11-46F15.2,0.48491213
179,TPRG1L,0.7221859
180,WRAP73,0.7021987
181,TP73,6.597916
184,TP73-AS1,0.71282357
185,CCDC27,0.16774806
186,SMIM1,3.5300012
187,LRRC47,0.72233295
188,RN7SL574P,1.3957133
189,RP1-286D6.5,0.5696992
190,CEP104,0.71864957
191,DFFB,0.7337184
192,C1orf174,0.7116575
193,LINC01134,2.443023
200,AJAP1,0.60842997
204,RP11-154H17.1,0.73266065
207,NPHP4,0.71395034
208,KCNAB2,0.71312344
209,CHD5,0.60110146
210,RPL22,0.7068414
211,RP1-120G22.11,0.33549038
212,RNF207,0.67321646
213,ICMT,0.71450144
214,LINC00337,1.0965383
216,GPR153,0.7150089
217,ACOT7,0.7316098
218,HES2,0.7258201
219,ESPN,0.7221229
221,RP1-202O8.2,2.091772
222,TNFRSF25,0.71873516
223,PLEKHG5,0.6991693
224,NOL9,0.718782
226,RP11-58A11.2,0.3498126
227,TAS1R1,0.57842195
228,ZBTB48,0.7202906
229,KLHL21,0.7190083
230,PHF13,0.7145205
231,THAP3,0.7040741
232,DNAJC11,0.71490693
234,RP11-312B8.1,1.0023208
235,CAMTA1,0.7148439
239,CAMTA1-IT1,0.20481087
241,RP4-549F15.1,0.3729925
242,RP11-338N10.1,0.36684573
243,RP11-338N10.2,1.6938133
244,RP11-338N10.3,1.7810137
245,VAMP3,0.7129245
246,RP3-467L1.6,0.5784402
247,PER3,0.7192136
248,RP3-467L1.4,0.49615455
249,UTS2,0.283169
250,TNFRSF9,0.3792861
252,PARK7,0.7171322
254,ERRFI1,0.7104663
255,RP11-431K24.1,1.3267223
256,CTA-215D11.4,0.48833033
262,SLC45A1,0.61830515
264,RERE,0.71246076
265,RP5-1115A15.1,0.427558
268,RPL7P11,0.2449661
269,RPL7P7,0.25180176
274,ENO1,0.6706344
276,ENO1-IT1,0.47245955
277,ENO1-AS1,0.34907174
279,HMGN2P17,0.21599303
282,CA6,0.6913793
283,RN7SL451P,0.9931356
285,SLC2A5,0.6550606
287,GPR157,0.7148183
288,MIR34AHG,0.6905706
289,LINC01759,3.5642452
290,RP3-510D11.4,0.42217165
291,H6PD,0.7064551
292,SPSB1,0.7139354
294,RP13-392I16.1,0.41865712
295,SLC25A33,0.7830267
296,RP13-15M17.1,0.42766
297,TMEM201,6.7937107
298,PIK3CD,0.6924943
301,PIK3CD-AS2,0.5275957
302,CLSTN1,0.7040467
304,RP11-84A14.7,0.39291483
305,CTNNBIP1,0.709745
306,LZIC,0.705391
307,RP11-84A14.4,0.35217106
308,NMNAT1,0.6866743
309,RN7SKP269,0.25454697
312,RBP7,0.6945604
313,UBE4B,0.72394705
314,RP11-496H15.2,0.22977723
315,PGAM1P11,0.39074042
317,KIF1B,0.735447
320,PGD,0.7144118
322,CENPS,0.65138584
323,CORT,0.52000815
324,DFFA,0.71755666
325,PEX14,0.7110229
326,RN7SL614P,0.3043138
327,CASZ1,0.70884013
328,RP4-734G22.3,0.7016799
330,C1orf127,0.3728451
331,CFL1P6,0.9658695
332,TARDBP,0.7163098
333,MASP2,0.6811948
334,RP4-635E18.8,0.69871235
335,SRM,0.7192278
336,EXOSC10,0.72580194
337,RP4-635E18.7,0.6791136
338,RP4-635E18.6,1.6436472
339,MTOR,0.71439886
340,MTOR-AS1,0.7982965
342,ANGPTL7,0.65992266
345,UBIAD1,0.70334756
346,UBE2V2P3,0.29957744
348,DISP3,0.3415296
350,FBXO2,0.71044266
351,FBXO44,0.71322554
352,FBXO6,0.6901359
353,MAD2L2,0.7050272
354,DRAXIN,0.4784053
355,AGTRAP,0.7081597
356,C1orf167,0.8834961
358,MTHFR,0.7209417
359,CLCN6,0.7186794
360,NPPA-AS1,0.50273526
361,NPPA,0.59652996
362,NPPB,1.8056767
364,RNU5E-1,0.20757867
366,KIAA2013,0.7287435
367,PLOD1,0.7329497
368,MFN2,0.7091182
370,MIIP,0.7112712
374,TNFRSF8,4.123756
378,TNFRSF1B,0.70811635
382,VPS13D,0.72039366
383,SNORA59A,2.9824345
384,RP5-888M10.2,0.21420401
385,DHRS3,0.72309154
386,RNU6ATAC18P,0.7317944
388,RP11-474O21.5,0.39891824
389,AADACL4,0.84499127
391,AADACL3,0.5396136
392,C1orf158,0.3660951
393,PRAMEF12,0.27771577
398,HNRNPCL1,0.34779903
432,LRRC38,0.59813213
433,RP4-597A16.2,0.23787121
435,PDPN,0.7208375
437,CTA-520D8.2,0.21231872
439,PRDM2,0.7299577
440,KAZN,0.71895194
443,RP4-704D23.1,0.17972869
445,TMEM51-AS1,4.4092164
446,TMEM51,0.6920034
450,FHAD1,2.4254868
451,RP3-467K16.2,0.26219872
453,RP3-467K16.4,0.31693837
454,EFHD2,0.7183807
455,CTRC,0.5330146
456,CELA2A,0.37532482
457,CELA2B,0.3200287
458,CASP9,0.6878153
459,DNAJC16,0.7072134
461,RP4-680D5.8,0.6520259
462,AGMAT,0.44363794
463,RP4-680D5.2,0.32466674
464,CHCHD2P6,0.48070407
467,DDI2,0.7113366
469,PLEKHM2,0.72036135
470,RP11-288I21.1,0.58473945
471,SLC25A34,0.65570194
474,FBLIM1,0.7137497
475,RPL12P14,0.3273977
476,UQCRHL,0.66487426
477,RP11-169K16.8,0.49396822
