id,name,recon_1
627,RP5-1071N3.1,3.1840315
631,NBPF2P,12.502154
632,HS6ST1P1,11.887221
634,NBPF3,9.198787
636,ALPL,7.6814733
638,RAP1GAP,8.852233
639,USP48,7.6851473
641,LDLRAD2,7.6694493
642,HSPG2,5.8996887
643,RP11-26H16.1,7.720781
645,CELA3B,2.020324
648,CELA3A,12.663296
651,LINC01635,14.74273
652,LINC00339,7.661302
653,CDC42,7.7163563
654,CDC42-IT1,13.428876
655,RP1-224A6.8,7.5443068
656,RP1-224A6.9,12.835971
657,WNT4,7.7115765
659,RP11-415K20.1,0.65497357
661,ZBTB40,7.1956205
662,ZBTB40-IT1,2.2329242
663,EPHA8,12.796456
665,C1QA,7.649116
666,C1QC,8.861426
667,C1QB,8.904664
668,EPHB2,4.844473
673,C1orf234,0.872146
674,KDM1A,7.693414
678,LUZP1,7.6789393
679,RP5-979D14.1,7.5033875
682,HTR1D,0.92114866
683,RP5-1057J7.1,7.4825053
684,LINC01355,7.6706862
685,HNRNPR,6.559487
686,ZNF436,7.6752396
687,ZNF436-AS1,7.6814284
688,RP5-1057J7.7,3.3471296
689,TCEA3,7.697125
690,RP4-654C18.1,0.6997341
691,ASAP3,6.379185
692,E2F2,8.666293
693,RP1-150O5.3,14.152618
694,ID3,7.2444167
695,MDS2,7.5240297
697,RPL11,10.875558
698,ELOA,7.2154217
699,ELOA-AS1,7.6879163
700,PITHD1,6.9635015
701,LYPLA2,7.213507
702,GALE,8.704841
703,HMGCL,7.6873245
704,FUCA1,8.376597
705,CNR2,0.9711287
710,PNRC2,7.3203993
711,SRSF10,6.8671737
714,MYOM3,7.6790957
716,IL22RA1,6.8693285
717,IFNLR1,8.25127
718,RP11-10N16.2,14.303876
719,RP11-10N16.3,7.7350783
720,GRHL3,6.754538
721,STPG1,8.912754
722,NIPAL3,7.610285
723,RCAN3,7.712428
725,NCMAP,11.305246
728,SRRM1,6.018849
729,CLIC4,7.65379
731,RUNX3,7.7611237
733,RP11-84D1.1,7.714735
739,SYF2,7.2344055
740,RSRP1,6.607811
741,RP3-465N24.6,7.7170124
742,RP3-465N24.5,12.939181
743,RHD,3.06336
744,SDHDP6,13.154038
746,TMEM50A,6.8203015
747,RHCE,7.5966444
748,RP3-469D22.1,7.6968265
749,TMEM57,7.6743636
750,LDLRAP1,7.6805615
751,RP11-70P17.1,12.136898
752,MAN1C1,8.278539
753,RP1-187B23.1,7.639349
754,SELENON,6.8964643
755,RP1-317E23.3,3.8560777
756,MTFR1L,7.3020062
757,AUNIP,7.5815854
759,PAQR7,7.4724507
761,STMN1,7.5274673
762,SNRPFP2,7.4805512
765,PAFAH2,8.07327
769,EXTL1,7.681468
770,SLC30A2,7.613091
771,RP11-96L14.9,13.2450285
772,TRIM63,7.697002
773,PDIK1L,8.744615
774,FAM110D,9.626286
776,RP11-96L14.7,13.007595
778,CNKSR1,7.8073125
779,CATSPER4,14.037556
780,RP11-231P20.2,13.378775
782,CEP85,8.063272
784,SH3BGRL3,7.6414185
785,UBXN11,7.664803
786,CD52,7.614601
787,AIM1L,6.8424726
788,RP11-569G9.7,11.830215
789,ZNF683,13.368036
790,LIN28A,7.719704
791,DHDDS,7.2884235
792,RP3-476K8.4,7.7113767
793,RP3-476K8.3,7.7540374
794,HMGN2,6.4438214
796,RPS6KA1,7.44875
804,RP5-968P14.2,7.6380525
805,ARID1A,6.386369
806,PIGV,8.235834
807,RN7SL165P,0.6386725
808,ZDHHC18,7.382161
809,SFN,4.5084305
810,GPN2,7.6575727
811,GPATCH3,7.6598496
812,NUDC,8.584342
813,NR0B2,7.7715955
814,KDF1,8.184124
815,RPL12P13,7.778183
816,RP11-344H11.5,0.4993824
817,OSTCP2,7.522084
818,TRNP1,8.858319
819,FAM46B,7.7220736
820,SLC9A1,7.6477523
822,CHCHD3P3,0.7491882
823,NPM1P39,13.360943
826,WDTC1,7.7014527
828,RP11-4K3__A.3,7.730167
829,TMEM222,7.7324123
831,ACTG1P20,7.533884
832,SYTL1,6.3442507
833,MAP3K6,7.719003
834,FCN3,7.577696
835,CD164L2,8.8695
837,GPR3,11.467742
838,WASF2,5.7311583
839,RP4-752I6.1,7.7605333
840,RP1-159A19.4,7.5352635
841,AHDC1,9.160856
842,FGR,6.137054
843,RP1-159A19.3,7.703591
845,IFI6,7.6590548
846,RP11-288L9.4,14.0529785
850,FAM76A,7.6722302
851,RP3-426I6.2,13.875889
852,RPEP3,0.58295685
853,STX12,8.31258
854,RP3-426I6.5,0.8744513
855,RP3-426I6.6,7.7527385
857,PPP1R8,7.6259475
859,THEMIS2,9.256523
860,RPA2,7.6733203
861,SMPDL3B,11.339278
863,XKR8,9.192132
864,EYA3,7.627202
865,RP11-460I13.6,13.078302
