,name,recon_1
73,BSU00740,0.7340958
74,BSU00750,0.7153578
75,BSU00760,0.73311275
76,BSU00770,0.6962375
77,BSU00780,0.7150296
78,BSU00790,0.7117692
79,BSU00800,0.7094418
80,BSU00810,0.7305727
81,BSU00820,0.72864586
82,BSU00830,0.7161381
83,BSU00840,0.76229405
84,BSU00850,0.7400297
85,BSU00860,0.7007826
86,BSU00870,0.7299264
87,BSU00880,0.7212686
88,BSU00890,0.7290616
89,BSU00900,0.70014614
90,BSU00910,0.7158533
91,BSU00920,0.73781776
92,BSU00930,0.704402
93,BSU00940,0.7401777
94,BSU00950,0.77607137
95,BSU00960,0.77444196
96,BSU00970,0.7287729
97,BSU00980,0.7160084
98,BSU00990,0.69593406
99,BSU01000,0.7451012
100,BSU01010,0.73291403
101,BSU01020,0.7696025
102,BSU01030,0.70814973
103,BSU01040,0.7068185
104,BSU01050,0.71839726
105,BSU01060,0.71722925
106,BSU01070,0.70171726
107,BSU01080,0.70083165
108,BSU01090,0.7135348
109,BSU01100,0.77274156
110,BSU01110,0.6997351
111,BSU01120,0.7283423
112,BSU01130,0.6990011
113,BSU01140,0.7197461
114,BSU01150,0.7044235
115,BSU01160,0.70429987
116,BSU01170,0.72763675
117,BSU01180,0.7115481
118,BSU01190,0.73906094
119,BSU01200,0.7214757
120,BSU01210,0.7714608
121,BSU01220,0.7439336
122,BSU01230,0.7169267
123,BSU01240,0.7104976
124,BSU01250,0.73943204
125,BSU01260,0.76515764
126,BSU01270,0.7241158
127,BSU01280,0.7049498
128,BSU01290,0.7079179
129,BSU01300,0.7010424
130,BSU01310,0.70618355
131,BSU01320,0.77677053
132,BSU01330,0.7038099
133,BSU01340,0.694936
134,BSU01350,0.7125604
135,BSU01360,0.7377921
136,BSU01370,0.71244705
137,BSU01380,0.7524979
138,BSU01389,0.73741937
139,BSU01390,0.70487046
140,BSU01400,0.68817633
141,BSU01410,0.73424
142,BSU01420,0.71865964
143,BSU01430,0.7334309
144,BSU01440,0.71034074
145,BSU01450,0.73599255
146,BSU01460,0.7309519
147,BSU01470,0.6899254
148,BSU01480,0.7208226
149,BSU01490,0.717691
150,BSU01500,0.71623796
151,BSU01510,0.70774585
152,BSU01520,0.7602181
153,BSU01530,0.76083064
154,BSU01540,0.69934124
155,BSU01550,0.7820461
156,BSU01560,0.71153724
157,BSU01570,0.7280514
158,BSU01580,0.7196121
159,BSU01590,0.72692263
160,BSU01600,0.72491306
161,BSU01610,0.7248712
162,BSU01620,0.7033649
163,BSU01630,0.6982652
164,BSU01640,0.74372077
165,BSU01650,0.84680665
166,BSU01660,0.7080124
167,BSU01670,0.78194785
168,BSU01680,0.7290904
169,BSU01690,0.7266349
170,BSU01700,0.7316105
171,BSU01710,0.72606003
172,BSU01720,0.70350426
173,BSU01730,0.70004773
174,BSU01740,0.72709244
175,BSU01750,0.6961599
176,BSU01760,0.71710783
177,BSU01770,0.7428497
178,BSU01780,0.7505772
179,BSU01800,0.70644957
180,BSU01810,0.7006366
181,BSU01820,0.7247515
182,BSU01830,0.7447466
183,BSU01845,0.70382094
184,BSU01860,0.7384093
185,BSU01870,0.7039992
186,BSU01880,0.7046616
187,BSU01889,0.7067248
188,BSU01890,0.72893894
189,BSU01900,0.73719645
190,BSU01910,0.7797015
191,BSU01920,0.7078628
192,BSU01935,0.7023303
193,BSU01950,0.7371266
194,BSU01960,0.75101244
195,BSU01970,0.7713382
196,BSU01980,0.73598146
197,BSU01990,0.69820046
198,BSU02000,0.7036541
199,BSU02010,0.7421464
200,BSU02019,0.7848628
201,BSU02030,0.7252333
202,BSU02040,0.7435925
203,BSU02050,0.70307875
204,BSU02060,0.7177543
205,BSU02070,0.76224774
206,BSU02080,0.7500069
207,BSU02090,0.7449167
208,BSU02100,0.7213963
209,BSU02110,0.7496105
